issue_id,text,labels
14807,http server endpoint libraries demo fails returns http with html breaking demo library retrieval jabref version other please describe below alpha operating system gnu linux details on version and operating system ubuntu checked with the latest development build copy version output from about dialog x i made a backup of my libraries before testing the latest development version x i have tested the latest development version and the problem persists steps to reproduce the behaviour start jabref open file preferences http server enable the http server and apply confirm with ok run the following command adjust host port to match the ui if needed optional check the file size expected behavior the endpoint returns http ok the response content type is application json tmp demo json contains the demo json payload baseline observed bytes actual behavior the endpoint returns http request failed the response content type is text html charset iso tmp demo json is much smaller observed bytes indicating an error html payload instead of json appendix reproducible after merging namely commit after restarting jabref this issue still exists screenshot before img width height alt image src screenshot after img width height alt image src,📌 Pinned;component: jabsrv
14805,sourcetab error dialog immediately appears after clicking ok in error occurred dialog blocking further interaction jabref version other please describe below alpha operating system gnu linux details on version and operating system ubuntu checked with the latest development build copy version output from about dialog x i made a backup of my libraries before testing the latest development version x i have tested the latest development version and the problem persists steps to reproduce the behaviour launch jabref create a new library and add an entry open the entry editor open the source tab and make the bib la tex invalid e g delete the final closing brace switch to another tab to trigger the error handling dialog click the dialog s ok button to close it expected behavior clicking ok should close the modal dialog and return control to the entry editor so the user can continue editing or fixing the source actual behavior the sourcetab error dialog is immediately shown after clicking ok the dialog continues to block the entry editor view preventing interaction screenshots after step img width height alt image src after step img width height alt image src appendix reproducible after merging namely commit,component: entry-editor;📍 Assigned;📌 Pinned
14787,minor grammar issues in privacy policy the privacy policy contains a few minor grammatical issues that could be improved for clarity,📌 Pinned
14783,embedded postgres does not work under linux arm jabref version latest development branch build please note build date below operating system gnu linux details on version and operating system ubuntu arm lts checked with the latest development build copy version output from about dialog x i made a backup of my libraries before testing the latest development version x i have tested the latest development version and the problem persists steps to reproduce the behaviour download latest version or also alpha version or alpha navigate to opt jabref bin run jabref see illegal state exception about missing libraries error no postgres binaries found you need to add an appropriate maven dependency that meets the following parameters system linux architecture arm exception in thread main java lang illegalstateexception missing embedded postgres binaries alpha is broken as well this must be something with the multi project jabref build stuff or whatever cannot really narrow it down i can just rule out that it has something to do with the library itself appendix originally reported i the forum details summary log file summary paste an excerpt of your log file here details,
14778,the api summary failed with error message saying gemini flash is not found jabref version alpha operating system macos details on version and operating system no response checked with the latest development build copy version output from about dialog x i made a backup of my libraries before testing the latest development version x i have tested the latest development version and the problem persists steps to reproduce the behaviour in set to with chat model and your then save open a switch to tab the response message shows the following text error code message models gemini flash is not found for api version v beta or is not supported for generatecontent call listmodels to see the list of available models and their supported methods status not found img width height alt image src appendix details summary log file summary paste an excerpt of your log file here details,
14746,fix dockerbuild the workflows to build the docker images stopped working a problem was found with the configuration of task jablib generatejournallistmv type jbangtask in plugin com github koppor jbang gradle plugin type dev jbang gradle tasks jbangtask property installdir specifies directory root jbang cache which doesn t exist refs docker buildx build progress plain t jabkit f dockerfile jabkit,
14739,switch to release of jbang gradle plugin update to the release where is included at we use and we should switch back to the original tool,status: depends-on-external
14737,output version at startup triggered by we do not know which jabref version is running should be output opt jabref bin jabref warning using incubator modules jdk incubator vector messages are not initialized before accessing key references main org jabref launcher main error could not launch jabref java lang illegalstateexception cannot instantiate view interface org jabref logic preferences clipreferences,
14730,reword citation key patterns preferences text in preferences citation key patterns rename to to,good first issue;📌 Pinned
14729,jabref doesn t start on debian sid jabref version alpha operating system gnu linux details on version and operating system debian sid amd checked with the latest development build copy version output from about dialog x i made a backup of my libraries before testing the latest development version x i have tested the latest development version and the problem persists steps to reproduce the behaviour here is the log opt jabref bin jabref warning using incubator modules jdk incubator vector messages are not initialized before accessing key references main org jabref launcher main error could not launch jabref java lang illegalstateexception cannot instantiate view interface org jabref logic preferences clipreferences at afterburner fx com airhacks afterburner injection injector lambda getdefaultinstancesupplier unknown source at afterburner fx com airhacks afterburner injection injector instantiatemodelorservice unknown source at afterburner fx com airhacks afterburner injection injector instantiatemodelorservice unknown source at org jabref org jabref gui maintable maintablecolumnmodel init unknown source at org jabref org jabref gui maintable maintablecolumnmodel init unknown source at org jabref org jabref gui maintable columnpreferences init unknown source at org jabref org jabref gui maintable columnpreferences getdefault unknown source at org jabref org jabref gui preferences jabrefguipreferences getmaintablecolumnpreferences unknown source at org jabref org jabref gui preferences jabrefguipreferences importpreferences unknown source at org jabref jablib org jabref logic preferences jabrefclipreferences init unknown source at org jabref org jabref gui preferences jabrefguipreferences init unknown source at org jabref org jabref gui preferences jabrefguipreferences getinstance unknown source at org jabref org jabref launcher main unknown source caused by java lang instantiationexception org jabref logic preferences clipreferences at java base java lang class newinstance unknown source more caused by java lang nosuchmethodexception org jabref logic preferences clipreferences init at java base java lang class getconstructor unknown source more exception in thread main java lang illegalstateexception cannot instantiate view interface org jabref logic preferences clipreferences at afterburner fx com airhacks afterburner injection injector lambda getdefaultinstancesupplier unknown source at afterburner fx com airhacks afterburner injection injector instantiatemodelorservice unknown source at afterburner fx com airhacks afterburner injection injector instantiatemodelorservice unknown source at org jabref org jabref gui maintable maintablecolumnmodel init unknown source at org jabref org jabref gui maintable maintablecolumnmodel init unknown source at org jabref org jabref gui maintable columnpreferences init unknown source at org jabref org jabref gui maintable columnpreferences getdefault unknown source at org jabref org jabref gui preferences jabrefguipreferences getmaintablecolumnpreferences unknown source at org jabref org jabref gui preferences jabrefguipreferences importpreferences unknown source at org jabref jablib org jabref logic preferences jabrefclipreferences init unknown source at org jabref org jabref gui preferences jabrefguipreferences init unknown source at org jabref org jabref gui preferences jabrefguipreferences getinstance unknown source at org jabref org jabref launcher main unknown source caused by java lang instantiationexception org jabref logic preferences clipreferences at java base java lang class newinstance unknown source more caused by java lang nosuchmethodexception org jabref logic preferences clipreferences init at java base java lang class getconstructor unknown source more appendix details summary log file summary paste an excerpt of your log file here details,component: preferences
14712,update heylogs call you will learn about the ci pipeline,good second issue;dev: ci-cd
14697,all the associated files should be displayed for broken linked files instead of only the first one please use the github issue tracker only for bug reports and smaller suggestions for improvements requests for completely new features questions and general feedback is now handled at thanks is your suggestion for improvement related to a problem please describe implemented however only the first file associated with the broken linked files is displayed which is not ideal for example say we have the following file structure setup text issue issue bib subdir minimal pdf subdir copy minimal pdf the current implementation only displayes the one under img width height alt image src describe the solution you d like an ideal implementation should display the two files under both and,📍 Assigned;📌 Pinned
